,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14
cy_1,0.0,0.28400000000000003,0.96,1.0,0.95,0.878,0.753,0.010000000000000009,0.894,0.992,0.946,1.0,0.973,0.998
cy_2,0.28400000000000003,0.0,1.0,0.983,0.998,0.993,0.922,0.28400000000000003,0.987,0.996,0.998,1.0,1.0,1.0
cy_3,0.96,1.0,0.0,0.987,0.06899999999999995,0.605,0.575,0.957,0.31200000000000006,0.649,0.46099999999999997,0.9339999999999999,0.16400000000000003,0.45999999999999996
cy_4,1.0,0.983,0.987,0.0,0.997,1.0,0.971,1.0,0.988,0.528,0.935,0.95,0.996,0.862
cy_5,0.95,0.998,0.06899999999999995,0.997,0.0,0.599,0.55,0.947,0.255,0.6859999999999999,0.44199999999999995,0.9359999999999999,0.14700000000000002,0.45899999999999996
cy_6,0.878,0.993,0.605,1.0,0.599,0.0,0.862,0.87,0.735,0.962,0.894,1.0,0.6859999999999999,0.961
cy_7,0.753,0.922,0.575,0.971,0.55,0.862,0.0,0.758,0.29600000000000004,0.5640000000000001,0.31299999999999994,0.999,0.594,0.405
cy_8,0.010000000000000009,0.28400000000000003,0.957,1.0,0.947,0.87,0.758,0.0,0.892,0.994,0.949,1.0,0.974,1.0
cy_9,0.894,0.987,0.31200000000000006,0.988,0.255,0.735,0.29600000000000004,0.892,0.0,0.608,0.32899999999999996,0.96,0.34299999999999997,0.396
cy_10,0.992,0.996,0.649,0.528,0.6859999999999999,0.962,0.5640000000000001,0.994,0.608,0.0,0.538,0.976,0.6930000000000001,0.41000000000000003
cy_11,0.946,0.998,0.46099999999999997,0.935,0.44199999999999995,0.894,0.31299999999999994,0.949,0.32899999999999996,0.538,0.0,0.993,0.34299999999999997,0.18100000000000005
cy_12,1.0,1.0,0.9339999999999999,0.95,0.9359999999999999,1.0,0.999,1.0,0.96,0.976,0.993,0.0,0.927,0.955
cy_13,0.973,1.0,0.16400000000000003,0.996,0.14700000000000002,0.6859999999999999,0.594,0.974,0.34299999999999997,0.6930000000000001,0.34299999999999997,0.927,0.0,0.38
cy_14,0.998,1.0,0.45999999999999996,0.862,0.45899999999999996,0.961,0.405,1.0,0.396,0.41000000000000003,0.18100000000000005,0.955,0.38,0.0
