                  Analyte  Sample,Plasma1,Plasma2,Plasma3,Plasma4,Plasma5
Unknown4,-0.3335873622226163,0.549116474270677,-1.0679185841110126,-0.6073586182028601,-0.186573235869513
Unknown5,-0.281334108965265,-0.7436894455152476,1.5855761482371211,-0.5064314041588545,0.45646674312002505
Unknown6,0.009946785610934478,0.27418304131675103,2.5037150562081325,-0.9561745584180785,-0.012788970683412742
Unknown7,0.36490880557071426,-0.3884333300632386,0.03874775902773274,1.023997004140866,0.7645337134922626
Unknown8,-0.3335873622226163,0.05508605395186881,-0.5171285413255067,0.8527392173292208,0.4356409586562073
Unknown9,1.9703338510204353,-0.3203202463977656,-0.028720682197791444,-0.583281806874193,-0.7997339454699218
Unknown10,1.4421206414498817,0.37805950715553277,-0.7652977071589613,-0.5449779727888542,-0.8743966126769903
Unknown11,-1.2285060024773047,0.024230672391657198,0.884659447648334,-0.14798331884220642,0.7514243918481601
Unknown12,0.2903070739713065,0.09502164966355184,-0.1557174597288742,0.329154972040222,-1.2804569034593365
Unknown13,-0.7324310002728612,-0.40289915267067433,-0.17382079431904107,0.6299359869483669,0.27385639571088827
Unknown14,-0.44031749848035506,1.1423985752691477,-0.11427899039389178,0.5265859835732519,-0.2655849378389896
Unknown15,-1.1321906545426124,-1.463466521730311,0.6434862323484706,-1.3212416942306011,0.05482108829622525
Unknown16,-0.9703925361880851,0.465454636018954,0.1765609489561871,-1.0426923445573022,-0.6652021315994517
Unknown17,0.1324900456377495,-1.7806902978972188,-0.6209309280712343,-0.9685658361255065,0.28078915184752345
Unknown18,-0.1479819271402772,0.8396429366783289,-0.4864167465549961,-0.8825419258566625,-0.5713281351474818
Unknown19,0.9492084702311238,1.0596764403161505,1.8989431610897387,2.2837093008216844,-2.7867798073314622
Unknown20,0.5378145466047419,0.7640958640555727,1.8241124207235302,2.077713373732571,-2.877408525526384
Unknown21,-0.4108772055492038,0.04365822739135035,0.4700653120107354,0.3467142014409192,-0.10592554013046072
Unknown22,-1.0125818826278676,0.29668774464177855,0.6136595544598817,-0.05817139997936639,-0.4409758762725831
Unknown23,0.15553706385629362,-0.23256563754744758,-0.16507490556171459,0.20760423909710915,1.5900764348668688
Unknown24,0.43060609842219005,1.0018476335020536,0.3831764257198081,0.2858033562733455,0.9144147321675381
Unknown25,0.2955132265746742,-0.9927567671538344,-0.9978337041067592,-1.2549744225862949,-0.7028393227894202
Unknown26,-0.1204925957471439,-0.03070858723472373,-0.5291291843989384,-1.2253519833433368,0.6113886192239568
Unknown27,0.20319578375774908,-1.3095525721644945,-1.2754285596628976,0.27943976113867797,1.655717248369195
Unknown28,-0.38724171280545217,-0.6802679513057716,-2.079022153503075,-0.5550809412102006,1.5743357712033772
Unknown29,-1.1530165448766512,0.145857517275318,-0.976614794367937,-0.5586930224804109,0.20941747870383695
Unknown30,-1.0471528706660382,0.08361249539920967,-1.065601506437891,-0.6133526731346417,-1.3509111013988166
Unknown31,-1.7460460997095562,-1.0216445238186733,-0.08343290200696447,0.6153121421526435,-0.9674425460034048
Unknown32,-1.794553034677369,-0.14837964303938078,0.815864623212451,0.617047582296581,-0.5410343831483901
Unknown33,0.32463847501008236,-1.7977468268313468,-1.4416230373175196,-1.1533059589190422,1.2174872195771103
Unknown34,0.20906383734208936,-0.5402976991486108,-1.027192821945722,-1.1820580442573325,0.5070519523968933
Unknown35,-0.3748344937488691,1.4279131779006635,-0.760005293907099,-0.5140631469683246,0.05637956341073595
Unknown36,1.3048717379950259,1.6448891496122169,-0.2265418124308373,1.808266127333687,0.9226564827990891
Unknown37,2.07989019981095,-0.6143201572273661,-0.1808783592144823,-0.3366592226357814,0.27527036867113386
Unknown38,2.1935409577251876,1.7156013461805777,0.37449252925909104,-0.0448511785468541,0.36333296284763955
Unknown39,0.86711542702348,0.7008158711634435,1.0600061865308466,1.8074145646803974,0.49521232698021134
Unknown40,1.2745317063448405,2.0864970148879722,1.5928741717520083,1.9918472797551423,0.582272074351483
Unknown41,-1.3885098410393049,-2.326606669296671,-0.1273305084609231,-0.6254736186379799,0.43683629680565905
