,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14,cy_15,cy_16,cy_17,cy_18,cy_19,cy_20
cy_1,0.0,0.25439618928980834,0.273181289747092,0.3969115515699341,0.22188308081718477,0.3242473702201467,0.16976114029447864,0.12302321433707647,0.24200051334257294,0.2677527942608102,0.3503829748351488,0.293508773103877,0.3732004217513688,0.5412741741810181,0.39423383438467696,0.20850532968202012,0.3203689244172484,0.18360939031888068,0.3378506413914087,0.22752101820794973
cy_2,0.25439618928980834,0.0,0.3842591973933363,0.38726497571185187,0.38028624771575353,0.3658389626980565,0.3329079939337302,0.25534708520574856,0.36284221387658405,0.3527775051652213,0.4428312695926907,0.48057525693268865,0.4981654328761323,0.5793943164044065,0.5531900845264135,0.22454929881575275,0.18966848116364338,0.3520417312722497,0.27160924541467735,0.27539257458072186
cy_3,0.273181289747092,0.3842591973933363,0.0,0.3423616757689556,0.11204006336924005,0.22672333991765098,0.24443637821792402,0.2693251296257797,0.15273599790684805,0.16586586521231178,0.2182372330580405,0.21406345659576176,0.17244466987212959,0.3872793311493262,0.21387147420976604,0.3653046569582814,0.411904854762265,0.16317459761795522,0.4137130777048708,0.2558981177854037
cy_4,0.3969115515699341,0.38726497571185187,0.3423616757689556,0.0,0.4046272524903549,0.4936278063955401,0.34600713689977,0.46831148702999315,0.3447231245339339,0.2257874326803726,0.39817486045534467,0.345048637012064,0.2079884629831279,0.31831267222382914,0.2979916394925233,0.4865648451216901,0.4672002221520207,0.34527818239860486,0.4064081706189783,0.382883491684429
cy_5,0.22188308081718477,0.38028624771575353,0.11204006336924005,0.4046272524903549,0.0,0.24300811418807045,0.17944549024439754,0.23118561402342624,0.11053879275049094,0.25501812168327487,0.20203735048991311,0.1497595207701467,0.18922126478666823,0.4446077491033809,0.19051432270055346,0.3638026213248087,0.4264905711026169,0.08275375591156159,0.4248004692583886,0.2735281501918406
cy_6,0.3242473702201467,0.3658389626980565,0.22672333991765098,0.4936278063955401,0.24300811418807045,0.0,0.30753487046471584,0.25313457076777734,0.256606285615683,0.3486018206806215,0.32270607101437765,0.2985218173730936,0.3763867778241799,0.5711776415976976,0.38831721048924395,0.26557468200073087,0.2685105344671561,0.2428256224666993,0.3990184656045789,0.28744774044359866
cy_7,0.16976114029447864,0.3329079939337302,0.24443637821792402,0.34600713689977,0.17944549024439754,0.30753487046471584,0.0,0.22873852805365785,0.1349365174027301,0.22039194082639862,0.29309161040861853,0.18844989712216453,0.2543755184908817,0.4670431381607333,0.2678694784285145,0.3206324844557432,0.3669978603379983,0.1366086844371216,0.3484707361773808,0.2245676521426383
cy_8,0.12302321433707647,0.25534708520574856,0.2693251296257797,0.46831148702999315,0.23118561402342624,0.25313457076777734,0.22873852805365785,0.0,0.23869184934029386,0.34194706105100514,0.35742784631666036,0.3364861473877536,0.44664883405991007,0.6226630494753098,0.45826650348226766,0.15582617569327784,0.2584351069307062,0.23094134665869026,0.24113410025892762,0.27512884548085376
cy_9,0.24200051334257294,0.36284221387658405,0.15273599790684805,0.3447231245339339,0.11053879275049094,0.256606285615683,0.1349365174027301,0.23869184934029386,0.0,0.21065278621958794,0.19808829634242597,0.18469594098502246,0.2113630354881239,0.3606927495974034,0.1802291558097054,0.3424327691048542,0.37281287935453145,0.1171549062274943,0.34120245774925495,0.3045247531934814
cy_10,0.2677527942608102,0.3527775051652213,0.16586586521231178,0.2257874326803726,0.25501812168327487,0.3486018206806215,0.22039194082639862,0.34194706105100514,0.21065278621958794,0.0,0.2289495723074214,0.2533709289956788,0.13709080692412123,0.36735766968756656,0.221209131895244,0.3527157496501895,0.4024879596906398,0.21655752388021654,0.3248655441205822,0.22849890274355367
cy_11,0.3503829748351488,0.4428312695926907,0.2182372330580405,0.39817486045534467,0.20203735048991311,0.32270607101437765,0.29309161040861853,0.35742784631666036,0.19808829634242597,0.2289495723074214,0.0,0.24082969427955797,0.24295778220566383,0.41964074379508703,0.15834107295783234,0.34361188026306244,0.3933623841914595,0.20325222484349198,0.42034050284935964,0.32199175943477015
cy_12,0.293508773103877,0.48057525693268865,0.21406345659576176,0.345048637012064,0.1497595207701467,0.2985218173730936,0.18844989712216453,0.3364861473877536,0.18469594098502246,0.2533709289956788,0.24082969427955797,0.0,0.15053765939999786,0.41408906755994673,0.11473769538278833,0.43746486349409575,0.4950912122829681,0.1536246291796482,0.46831595442886237,0.29439178637316155
cy_13,0.3732004217513688,0.4981654328761323,0.17244466987212959,0.2079884629831279,0.18922126478666823,0.3763867778241799,0.2543755184908817,0.44664883405991007,0.2113630354881239,0.13709080692412123,0.24295778220566383,0.15053765939999786,0.0,0.3164907307287196,0.11727120033588445,0.5363703069605806,0.5466785858850739,0.20513273412722888,0.47555418457166604,0.3288827423295245
cy_14,0.5412741741810181,0.5793943164044065,0.3872793311493262,0.31831267222382914,0.4446077491033809,0.5711776415976976,0.4670431381607333,0.6226630494753098,0.3606927495974034,0.36735766968756656,0.41964074379508703,0.41408906755994673,0.3164907307287196,0.0,0.30769222192352086,0.6755375696929458,0.6513792247689844,0.38894053724706,0.5850411965228872,0.5008260483598379
cy_15,0.39423383438467696,0.5531900845264135,0.21387147420976604,0.2979916394925233,0.19051432270055346,0.38831721048924395,0.2678694784285145,0.45826650348226766,0.1802291558097054,0.221209131895244,0.15834107295783234,0.11473769538278833,0.11727120033588445,0.30769222192352086,0.0,0.5041148870740049,0.5415509347647928,0.17701091916422612,0.5182344980771815,0.37300675151423646
cy_16,0.20850532968202012,0.22454929881575275,0.3653046569582814,0.4865648451216901,0.3638026213248087,0.26557468200073087,0.3206324844557432,0.15582617569327784,0.3424327691048542,0.3527157496501895,0.34361188026306244,0.43746486349409575,0.5363703069605806,0.6755375696929458,0.5041148870740049,0.0,0.1304719097010909,0.3319951477534582,0.2072874834650401,0.2725349095736176
cy_17,0.3203689244172484,0.18966848116364338,0.411904854762265,0.4672002221520207,0.4264905711026169,0.2685105344671561,0.3669978603379983,0.2584351069307062,0.37281287935453145,0.4024879596906398,0.3933623841914595,0.4950912122829681,0.5466785858850739,0.6513792247689844,0.5415509347647928,0.1304719097010909,0.0,0.3610259777537478,0.17695896131938743,0.3444980484326724
cy_18,0.18360939031888068,0.3520417312722497,0.16317459761795522,0.34527818239860486,0.08275375591156159,0.2428256224666993,0.1366086844371216,0.23094134665869026,0.1171549062274943,0.21655752388021654,0.20325222484349198,0.1536246291796482,0.20513273412722888,0.38894053724706,0.17701091916422612,0.3319951477534582,0.3610259777537478,0.0,0.39778714389466724,0.25216320920972046
cy_19,0.3378506413914087,0.27160924541467735,0.4137130777048708,0.4064081706189783,0.4248004692583886,0.3990184656045789,0.3484707361773808,0.24113410025892762,0.34120245774925495,0.3248655441205822,0.42034050284935964,0.46831595442886237,0.47555418457166604,0.5850411965228872,0.5182344980771815,0.2072874834650401,0.17695896131938743,0.39778714389466724,0.0,0.36523602696343377
cy_20,0.22752101820794973,0.27539257458072186,0.2558981177854037,0.382883491684429,0.2735281501918406,0.28744774044359866,0.2245676521426383,0.27512884548085376,0.3045247531934814,0.22849890274355367,0.32199175943477015,0.29439178637316155,0.3288827423295245,0.5008260483598379,0.37300675151423646,0.2725349095736176,0.3444980484326724,0.25216320920972046,0.36523602696343377,0.0
